register,type,type_code,scale,scale_str,elem_size,count,source_ptr,notes
30000,u16,0x02,0,x1,2,1,0x20014EBA,
30001,i16,0x12,0,x1,2,1,0x20014EB8,
30002,i16,0x12,0,x1,2,1,0x20014EBC,
30003,i16,0x12,0,x1,2,1,0x20014EBE,
30004,u16,0x02,0,x1,2,1,0x20014EAC,
30005,u16,0x02,0,x1,2,1,0x20014EB0,
30006,i16,0x12,0,x1,2,1,0x20014EB4,
30007,i16,0x12,0,x1,2,1,0x20014EB6,
30010,u8,0x01,0,x1,2,1,0x20000144,
30020,u16,0x02,0,x1,2,1,0x20014F54,
30021,u16,0x02,0,x1,2,1,0x20014F5A,
30022,u16,0x02,0,x1,2,1,0x20014F60,
30023,u16,0x02,0,x1,2,1,0x20014F66,
30024,u16,0x02,0,x1,2,1,0x20014F56,
30025,u16,0x02,0,x1,2,1,0x20014F5C,
30026,u16,0x02,0,x1,2,1,0x20014F62,
30027,u16,0x02,0,x1,2,1,0x20014F68,
30028,u16,0x02,0,x1,2,1,0x20014F7C,
30029,i16,0x12,0,x1,2,1,0x20014F7E,
30030,u16,0x02,0,x1,2,1,0x2000018A,
30031,u16,0x02,0,x1,2,1,0x20014F84,
30032,u16,0x02,0,x1,2,1,0x20014F86,
30033,u16,0x02,0,x1,2,1,0x20014F88,
30034,u16,0x02,0,x1,2,1,0x20014F8A,
30035,i16,0x12,0,x1,2,1,0x20014F8C,
30036,u16,0x02,0,x1,2,1,0x20014F80,
30037,u16,0x02,0,x1,2,1,0x20014F58,
30038,u16,0x02,0,x1,2,1,0x20014F5E,
30039,u16,0x02,0,x1,2,1,0x20014F64,
30040,u16,0x02,0,x1,2,1,0x20014F6A,
30100,u16,0x02,0,x1,2,1,0x20014FB4,
30101,i16,0x12,0,x1,2,1,0x20014FB6,
30102,u16,0x02,0,x1,2,1,0x20014FC4,
30103,u16,0x02,0,x1,2,1,0x20014FC6,
30104,i16,0x12,1,x10,2,1,0x20014FC8,
30105,i16,0x12,1,x10,2,1,0x20014FCA,
30106,u16,0x02,0,x1,2,1,0x20015002,
30107,i16,0x12,0,x1,2,1,0x20014FFE,
30108,i16,0x12,0,x1,2,1,0x20015000,
30109,u8,0x01,0,x1,2,1,0x20014FAC,
30110,u8,0x01,0,x1,2,1,0x20014FAF,
30200,u16,0x02,0,x1,2,1,0x08010000,
30201,u8,0x01,0,x1,2,1,0x20000038,
30202,u16,0x02,0,x1,2,1,0x2000015E,
30203,u16,0x02,0,x1,2,1,0x20000160,
30204,u16,0x02,0,x1,2,1,0x20014FD2,
30205,u16,0x02,0,x1,2,1,0x20000188,
30210,u8,0x01,0,x1,2,1,0x20014FC2,
30211,u8,0x01,0,x1,2,1,0x20000165,
30212,u8,0x01,0,x1,2,1,0x20000138,
30213,u8,0x01,0,x1,2,1,0x20000164,
30214,u8,0x01,0,x1,2,1,0x20014FAE,
30300,u8,0x01,0,x1,2,1,0x20001F4C,
30301,u8,0x01,0,x1,2,1,0x20018B5C,
30302,u8,0x01,0,x1,2,1,0x2001916D,
30303,u8,0x01,0,x1,2,1,0x20001F4D,
30304,ascii,0x31,0,x1,1,12,0x2001894E,
30350,u8,0x01,0,x1,1,12,0x200180F0,
30400,u8,0x01,0,x1,1,8,0x2001ADC5,
31000,u8,0x01,0,x1,1,20,0x20014CE0,
32100,u16,0x02,0,x1,2,1,0x20014F8E,
32101,i16,0x12,3,/10,2,1,0x20014F90,
32102,float32,0x24,0,x1,4,1,0x20014EB8,
32104,u16,0x02,3,/10,2,1,0x20014F94,
32105,u16,0x02,0,x1,2,1,0x20014F96,
32106,u16,0x02,0,x1,2,1,0x20014FA0,
32107,u16,0x02,0,x1,2,1,0x20014FA2,
32108,i16,0x12,0,x1,2,1,0x20014F92,
32109,u8,0x01,0,x1,2,1,0x20014F98,
32110,u16,0x02,0,x1,2,1,0x20014F99,
32111,u8,0x01,0,x1,2,1,0x20014F9B,
32112,u8,0x01,0,x1,2,1,0x20014FAD,
32113,u8,0x01,0,x1,2,1,0x20014FAC,
32114,u8,0x01,0,x1,2,1,0x20014FAF,
32200,u16,0x02,0,x1,2,1,0x20014EAC,
32201,u16,0x02,0,x1,2,1,0x20014EAC,
32202,i16,0x12,0,x1,4,1,0x20014EB4,
32204,u16,0x02,0,x1,2,1,0x20014EAE,
32300,u16,0x02,0,x1,2,1,0x20014EB0,
32301,u16,0x02,0,x1,2,1,0x20014EB0,
32302,i16,0x12,0,x1,2,1,0x20014EB6,
33000,u32,0x04,3,/10,4,1,0x20014D9C,
33002,u32,0x04,3,/10,4,1,0x20014DA0,
33004,u32,0x04,3,/10,4,1,0x20014DAC,
33006,u32,0x04,3,/10,4,1,0x20014DB0,
33008,u32,0x04,3,/10,4,1,0x20014DA4,
33010,u32,0x04,3,/10,4,1,0x20014DA8,
34000,u16,0x02,0,x1,2,1,0x20014FB4,
34001,i16,0x12,0,x1,2,1,0x20014FB6,
34002,u16,0x02,0,x1,2,1,0x20014FB8,
34003,i16,0x12,0,x1,2,1,0x20014FBA,
34004,u8,0x01,0,x1,2,1,0x20014FC2,
34005,u16,0x02,0,x1,2,1,0x20014FC4,
34006,u16,0x02,0,x1,2,1,0x20014FC6,
34007,i16,0x12,0,x1,2,1,0x20014FCC,
34008,u16,0x02,0,x1,2,1,0x20014FCE,
34009,u16,0x02,0,x1,2,1,0x20014FD0,
34010,u16,0x02,0,x1,2,1,0x20014FD2,
34011,u16,0x02,0,x1,2,1,0x20014FFE,
34012,u16,0x02,0,x1,2,1,0x20015000,
34013,u16,0x02,0,x1,2,4,0x20014FF4,
34017,u16,0x02,0,x1,2,1,0x20015002,
34018,u16,0x02,0,x1,2,16,0x20014FD4,
34100,u16,0x02,0,x1,2,1,0x20015014,
34101,u16,0x02,0,x1,2,1,0x20015016,
34102,u16,0x02,0,x1,2,1,0x20015018,
34103,i16,0x12,0,x1,2,1,0x2001501A,
34104,u8,0x01,0,x1,2,1,0x20015022,
34105,u16,0x02,0,x1,2,1,0x20015024,
